fold,model,mae,rmse,r2,mape,mae_train,overfitting_ratio
1,1. RandomForest,0.006650561412678527,0.010846200453464988,0.9877762992101176,0.008029766814572003,0.003942444138351666,1.686913290154854
1,2. GradientBoosting,0.005722497443276709,0.010119431788172237,0.9893595569346718,0.006868215093076893,0.0011253745119848531,5.084971609303455
1,3. XGBoost,0.005428389306906563,0.009430707508529916,0.9907586374465225,0.0065526131814281265,0.0015799014347386516,3.435903777000197
1,4. SVR,0.006794474114095793,0.009198882892310422,0.9912073934932749,0.008216968588366503,0.006082050127276123,1.1171355006800532
1,5. Voting (Average),0.008544428241497095,0.012008450077446371,0.9850162205653362,0.010435158241357916,0.005843710716347588,1.46215797739514
1,6. Voting (Weighted),0.006418354363182864,0.01012320068833524,0.9893516295655431,0.0077641702869237625,0.0031313421764868365,2.049713509873853
1,7. Stacking (Ridge),0.013389719556417087,0.016686875871849846,0.971066729427785,0.01601558957874061,0.011326168190999387,1.1821932475854942
1,8. Stacking (GB Meta),0.029752739835440904,0.03716018080898946,0.8565161257915379,0.036392059249053824,0.02804891819206176,1.0607446473233806
2,1. RandomForest,0.007357233376150623,0.013172182905273078,0.9846344737426815,0.008970765342018426,0.0036214287575898722,2.031583076356581
2,2. GradientBoosting,0.00677587190902321,0.013265115580839612,0.9844168945058217,0.008259507268075306,0.0010680731204280505,6.344015011170445
2,3. XGBoost,0.006845183213820094,0.013021532251137367,0.9849839358216027,0.008355430074181713,0.0014627786059493249,4.679575696540664
2,4. SVR,0.006413805434474514,0.009763881430759812,0.9915573861154792,0.007743651701919209,0.005771889546333223,1.1112141670398195
2,5. Voting (Average),0.009646505174452364,0.014869312886243017,0.9804199528057862,0.01213268697137275,0.0057052112469879145,1.690823486955942
2,6. Voting (Weighted),0.007654700956562451,0.01331946095830286,0.984288949219533,0.009490485878216158,0.003008418910354151,2.5444265525047305
2,7. Stacking (Ridge),0.014687123584898189,0.018760520169707928,0.9688310849300766,0.018441625751510694,0.011648368291006666,1.260873902505096
2,8. Stacking (GB Meta),0.03052771494087513,0.03717043611164924,0.8776434431974149,0.038642764053525396,0.027604924119502938,1.105879328221273
3,1. RandomForest,0.0061572586484031884,0.00932189103998658,0.9926227696088699,0.007355227111511612,0.004134080701818829,1.4893900464241645
3,2. GradientBoosting,0.004752938669572012,0.008648683611744364,0.9936498304386994,0.005623265413599414,0.0011487926155918785,4.137333932219971
3,3. XGBoost,0.004601762234953315,0.008755659349736577,0.9934917681646077,0.005515955512468329,0.0015369399239320862,2.9941067723585637
3,4. SVR,0.006588806330326722,0.009535929271744969,0.9922801058696197,0.007718228469362401,0.005758382876980106,1.1442112258054848
3,5. Voting (Average),0.007417274211472305,0.010759826164042478,0.9901713060533697,0.009088844749410274,0.006079341753496225,1.2200785072177651
3,6. Voting (Weighted),0.005512912847106444,0.009104249807518264,0.992963225509184,0.006653816804248415,0.0032367086390131046,1.7032465575237474
3,7. Stacking (Ridge),0.013784712786598433,0.01720380754198553,0.974873357944195,0.01632471698199057,0.012177244918046904,1.1320058748403123
3,8. Stacking (GB Meta),0.02898670949831788,0.03684962112429225,0.8847206932966593,0.03608396942855917,0.029938994371116974,0.9681924896676626
4,1. RandomForest,0.006578538936338892,0.01055831093218902,0.9895163065940202,0.007837084803946825,0.003960371420391517,1.6610914073530374
4,2. GradientBoosting,0.004862805943092694,0.008942658891497727,0.9924792916460989,0.005760283148943501,0.001060093769381177,4.587146989771788
4,3. XGBoost,0.005670516475035556,0.009292291822500525,0.9918797182677123,0.006833594446920992,0.0015093243848798153,3.7569899034574257
4,4. SVR,0.005779130259795968,0.007565045948895727,0.9946179397257021,0.007069112629297293,0.0058839035507069065,0.982193234472997
4,5. Voting (Average),0.007658872878727231,0.010880685544317899,0.9888663404994789,0.00944198596725024,0.005892324766274834,1.299804946693259
4,6. Voting (Weighted),0.005805263173862259,0.009333047892613685,0.991808330809292,0.007034790498204922,0.0031161496376198214,1.8629603353375668
4,7. Stacking (Ridge),0.012107500304496439,0.015345484392656358,0.977854442367176,0.014658026531430012,0.011318908903981226,1.0696702665605728
4,8. Stacking (GB Meta),0.02812492868268591,0.03775134076776941,0.8659736538800725,0.03618084184610193,0.027509576886603306,1.0223686390604674
5,1. RandomForest,0.007271273538983364,0.012070032747881284,0.9862890412291871,0.008768443317346305,0.0040756882092863635,1.7840603023597172
5,2. GradientBoosting,0.0060688858939538706,0.012086932836357244,0.9862506190240019,0.007237157088210252,0.001084531262150215,5.59586072412663
5,3. XGBoost,0.006675365183754088,0.012986054801221445,0.9841289598385059,0.007912023518697554,0.0013767775451761042,4.84854303960938
5,4. SVR,0.006864184998900123,0.009308248705147829,0.9918456962448399,0.008007834293740173,0.005737208136082741,1.1964329750788614
5,5. Voting (Average),0.009019502351606897,0.013188184858377517,0.9836310440455213,0.010923890406521525,0.005964246537558081,1.512261824659535
5,6. Voting (Weighted),0.007028245166798094,0.01222235957432306,0.9859407860301885,0.008421329203964514,0.003132531804216442,2.243630904988085
5,7. Stacking (Ridge),0.014210752399034793,0.01791254120171392,0.9698028933514791,0.01702608897604674,0.01181838298885128,1.2024278120315042
5,8. Stacking (GB Meta),0.025767607531856463,0.03300840532617752,0.8974584175661996,0.0323857003791575,0.02763086219793693,0.9325661771705558
