feature,importance
energy_proxy_VAs,0.5193651368444994
duration_s,0.2020082378894245
current_mean,0.10061190274830732
discharge_voltage_slope,0.05814451024669576
voltage_plateau_fraction,0.023031855787873846
discharge_curvature_coeff,0.0211309948937001
voltage_delta,0.016868700350122355
voltage_slope_V_per_s,0.01603307039108115
current_std,0.014494091757607583
voltage_end,0.013346251466455981
voltage_start,0.006644361865772568
n_points,0.00251765771456363
temp_end,0.0019288511015869121
temp_change,0.0016728279856493356
voltage_std,0.0009285373954578548
discharge_frac,0.0007782480523303156
temp_start,0.0004947635088714057
