algorithm,test_file,n_test,MAE,RMSE,R2
Random Forest,B0005.mat,168,0.03765802855228058,0.04471524670965125,0.8087964513197208
Random Forest,B0006.mat,168,0.06731653446788577,0.07186681708288235,0.6611632252730992
Random Forest,B0007.mat,168,0.031716153739330864,0.041519982962833116,0.7605965429555981
Random Forest,B0018.mat,132,0.03160725921528269,0.037724245087548215,0.7943081157315184
Decision Tree,B0005.mat,168,0.042829396619924284,0.050546599227814716,0.7556746277666959
Decision Tree,B0006.mat,168,0.06614877918851775,0.07106701620002519,0.66866304177911
Decision Tree,B0007.mat,168,0.039633309871303146,0.04927685480525006,0.6627887579731011
Decision Tree,B0018.mat,132,0.03485152555626801,0.04297255787557002,0.7330939294867491
Gradient Boosting,B0005.mat,168,0.04187383153353835,0.04847470407875299,0.7752938188764278
Gradient Boosting,B0006.mat,168,0.066668867978528,0.0709352464782427,0.6698906071004973
Gradient Boosting,B0007.mat,168,0.03236755139989872,0.042423607255285975,0.7500625864300554
Gradient Boosting,B0018.mat,132,0.03620985338533104,0.04231195751662112,0.7412369406943324
SVM,B0005.mat,168,0.027411118193091784,0.02899481706267068,0.9196056678352921
SVM,B0006.mat,168,0.07436051382388503,0.08083249544074488,0.5713471747327836
SVM,B0007.mat,168,0.010273540845932386,0.014080681136858958,0.9724663738182184
SVM,B0018.mat,132,0.025710058314051577,0.027040099928192732,0.8943200435520714
Stacking,B0005.mat,168,0.03700005037281275,0.04455718575505887,0.8101458076624503
Stacking,B0006.mat,168,0.06727215375169363,0.07237451760320815,0.6563589148769124
Stacking,B0007.mat,168,0.033678883102945534,0.044136437224385996,0.7294729912331495
Stacking,B0018.mat,132,0.02788614601281566,0.03210591008945189,0.8510138109250777
